,Short_description,Description,Caller,Assignment_group,clean_desc
2386,password reset,"
    request to reset user's password   
   the following user in your organization has requested a password reset be performed for their account: 

â€¢ icyxtqej.lqsjrgzt@gmail.com 
â€¢ first name: hyeonthygwon 
â€¢ last name: lethre 

consider contacting this user to validate this request is authentic before continuing. 

if you have determined that this is a valid request, use your service's admin portal (office 365, windows intune, windows azure, etc.) to reset the password for this user. 

want to let you users reset their own passwords? check out how you can enable password reset for users in your organization with just a few clicks. 

sincerely, 
company inc. 

         
   this message was sent from an unmonitored email address. please do not reply to this message. 
  

   
 
",icyxtqej lqsjrgzt,0,password reset request user the follow - organization have perform for account hyeonthygwon lethre consider contact this validate authentic before continue determine that valid use service admin portal office window intune azure etc want let own check out how can enable with just few click sincerely company inc message be unmonitored email address please not reply
2387,account got locked,account got locked,edrglpvu ihpzqksy,0,account get lockedaccount lock
2388,system took a long time to respond after a password reset.,"system took a long time to respond after a password reset.
stack guard error came up with outlook.",vncowmbd hyfzcqpi,0,system take long time respond after password reset stack guard error come with outlook
2389,user lndypaqg dhqwtcsr (gogtyekthyto) hat sein passwort in erp SID_34 verggermany. ,user lndypaqg dhqwtcsr (gogtyekthyto) hat sein passwort in erp SID_34 verggermany. ,qgopxabz xnuieqjr,0,user lndypaqg dhqwtcsr gogtyekthyto have - password erp sid verggermany
2390,unable to connect to expense reimbursement webpage.,"unable to connect to expense reimbursement webpage.
page fails to load",jziwhldq qslwyozu,0,unable connect expense reimbursement webpage page fail load
2391,distributor_tool does not have a list of favorite customers,issue occurred after a recent password change.,jvpqlgib yuhcljqp,0,distributortool do not have list favorite customersissue occur after recent password change
2392,gurts lrupiepens email forwarding,"

received from: hpqjaory.gfrwmije@gmail.com

gurts lrupiepens left company's usa, il facility on september 30, 2016.
i am assuming partial responsibilities for gus. can you please set up email forwarding
for any correspondences to my email address?

please advise if there is anything else required on my part or my manager, xpoqcrtb zwrypjqv.

",hpqjaory gfrwmije,19,gurt lrupiepen email forward leave company usa facility september assume partial responsibility for gus can - please set forwarding any correspondence address advise there anything else require part manager xpoqcrtb zwrypjqv
2393,"please reset my password for hana SID_60,SID_59,SID_58","please reset my password for hana SID_60,SID_59,SID_58 for userid:bathishry",oncidblt ucewizyd,49,please reset password for hana sid userid bathishry
2394,erp password reset : erp SID_34,erp password reset : erp SID_34,ranjhczs qvcwptbr,0,erp password reset sid
2395,HostName_113 : rfcserver.exe process count service is down at 8:11 am et on 10/04.,HostName_113 : rfcserver.exe process count service is down at 8:11 am et on 10/04.,rkupnshb gsmzfojw,6,host rfcserver exe process count service down
2396,xceliron process where pos are auto received is not working as designed resulting in blocked inwarehouse_tools.,xceliron process where pos are auto received is not working as designed resulting in blocked inwarehouse_tools resulting in additional work for the ap and buyer who cannot control this process.  please correct the missing goods receipts on the attached file and make a permanent correction so that goods receipts are done in a timely fashion going forward.  please do not close this ticket until a permanent fix is uacyltoe hxgayczeed and in place.  ,xkmvpaei fizqoprk,22,xceliron process where pos be auto not work design result block inwarehousetool additional for the and buyer who can control this please correct miss good receipt attach file make permanent correction that do timely fashion go forward close ticket until fix uacyltoe hxgayczeed place
2397,crm app on ios10,crm app on ios10,jziwhldq qslwyozu,0,crm app ios
2398,schnafk - docking station needs replacement,"desk: 455 - cubicle number in the customer service department - usa

phone number: 

laptop model: latitude e5450

direct connection to monitors work, through docking station, no go.",toeibhlp gukqjwnr,23,schnafk docking station need replacementdesk cubicle number the customer service department usa phone laptop model latitude direct connection monitor work through
2399,collaboration_platform access,"

received from: frydqbgs.ugmnzfik@gmail.com

hello all,

the project documentation under the collaboration_platform links below is no longer accessible with error message
jaytya created it, but he left meanwhile, perhaps deactivation of his account could be the reason. anyway, please help to get access again or provide instruction to change owner. ",frydqbgs ugmnzfik,8,collaborationplatform access all the project documentation under link below longer accessible with error message jaytya create but leave meanwhile perhaps deactivation - account could reason anyway please help get again provide instruction change owner
2400,unable to sign in to skype,unable to sign in to skype,sprzgqyv uxpjtgaw,0,unable sign skypeunable skype
2401,"view drawing in engineering tool, erp gui and business_client take 3x as long as normal","since a couple days we see huge performance issues in fue to view drawings from erp.
",tghrloks jbgcvlmf,6,view draw engineering tool erp gui and businessclient take long normalsince couple day see huge performance issue fue drawing
2402,updation required in flash player,"

received from: ipydfcqo.kdxsquzn@gmail.com

hello,

please find below compatibility check getting while launching ethics.

kindly go thru and do the needful.

[cid:image011.jpg@01SID_35e5d.aeae3550]

system details is provided below for your quick view.
[cid:image012.png@01SID_35e5d.aeae3550]

",ipydfcqo kdxsquzn,0,updation require flash player please find below compatibility check get while launch ethic kindly thru and the needful cid system detail provide for - quick view
2403,plm-engineering tool:  pdf-files can not be opened. error attached.,"

received from: tgafnyzb.hnevrcuj@gmail.com

hallo,

das Ã¶ffnen von pdf-files aus engineering tool dauert heute extrem lange. manchmal erscheint auch diese meldung, ohne dass das file geÃ¶ffnet wird:

[cid:image001.png@01SID_35e3f.829dfa90]

mit freundlichen grÃ¼ÃŸen / best ",tgafnyzb hnevrcuj,6,plm engineering tool pdf file can not open error attach take long time download sometimes this message also appear without the cid dfa with friendly gra ayen best
2404,info type '0017' is missing to personal number 56567040,"from: qkmvosen opundxsk 
sent: tuesday, october 04, 2016 4:10 pm
to: nyifqpmv kfirxjag
subject: travel expense manager

hello,

transaktion  pr05 doesnÂ´t work for personal number 56567040.

please check.

",qkmvosen opundxsk,2,info type miss personal number qkmvosen opundxsk tuesday october nyifqpmv kfirxjag travel expense manager transaktion doesna work for please check
2405,probleme mit ie \vzqomdgt jwoqbuml,probleme mit ie \vzqomdgt jwoqbuml,vzqomdgt jwoqbuml,17,problem with vzqomdgt jwoqbuml
2406,sinic allgemeiner fehler: 3155 odbc vmsliazh ltksxmyv driver abfragetimeout \jionmpsf wnkpzcmv,sinic allgemeiner fehler: 3155 odbc vmsliazh ltksxmyv driver abfragetimeout \jionmpsf wnkpzcmv,jionmpsf wnkpzcmv,17,sinic general error odbc vmsliazh ltksxmyv driver query timeout jionmpsf wnkpzcmvsinic wnkpzcmv
2407,probleme mit drucker we110 \fdyietau dvsyxwbu,"hallo ,

unser kopierer im schulungsraum ist auch defekt (minolta we 110).

kannst du bitte mal nachschauen.
",fdyietau dvsyxwbu,17,problem with printer fdyietau dvsyxwbuhallo - copier the training room also defective minolta can please take look
2408,job Job_593 failed in job_scheduler at: 10/04/2016 06:08:00  ,"received from: monitoring_tool@company.com

job Job_593 failed in job_scheduler at: 10/04/2016 06:08:00",bpctwhsn kzqsbmtp,72,job fail jobscheduler
2409,msd crm,"urgent help required, i cant link an appointment to an account. i have the crm tab on outlook, but when i enter an appointment and go to set regarding and put in the account, nothing comes to the account for an appointment.",qmpobijv wamtbupd,35,msd crmurgent help require link appointment account have the crm tab outlook but when enter and set regard put nothing come for
2410,job Job_1355 failed in job_scheduler at: 10/04/2016 05:48:00  ,"received from: monitoring_tool@company.com

job Job_1355 failed in job_scheduler at: 10/04/2016 05:48:00",bpctwhsn kzqsbmtp,73,job fail jobscheduler
2411,outlook issues - does not pull /send emails - delay up to 1 hour,"login: peathryucoj1
i have issues with my emails in outlook today. 
there are delays with pulling emails and sending out.
i am getting my emails with almost an hour delay.
i also have issues with sending out my emails. 
they are hanging in my outbox for a long time until they finally go out.
",repyzajo lxfwopyq,0,outlook issue do not pull send email delay hourlogin peathryucoj have with there be and out get almost hour also - hang outbox for long time until finally
2412,i cannot pick calls up from my phone,ebhl8111120 does not ring when there is a call.,npfkbdxo vdyltfzx,67,can not pick call phoneebhl do ring when there
2413,infopath is not working.,infopath is not working.,sxhcapoe kbluefip,0,infopath not work
2414,account locked. password reset request.,account locked. password reset request.,edrglpvu ihpzqksy,0,account lock password reset request
2415,need access to \\891245132\scan,"
zugriff auf verzeichnis angefragt.
folder access requested.

benutzer id ?
user id ?ahujajtyhur

benutzer die position titel?
user's position title ?executive sales admin

verzeichnis? 
folder ?\\891245132\scan

art des zugriffs?
type of access ? (read only or full control) ?full

name des vorgesetzten?
manager name?cobsfvjz apkqmrdu

received from: ohdrnswl.rezuibdt@gmail.com

hi,

please help to assign scanner to my system 891245132.

best ",ohdrnswl rezuibdt,11,need access scan zugriff auf verzeichnis angefragt folder request benutzer user ahujajtyhur die position titel title executive sale admin art des type read only full control vorgesetzten manager cobsfvjz apkqmrdu please help assign scanner system best
2416,need your help!! ,"

received from: ezwcpqrh.bnwqaglk@gmail.com

hello it desk,


i sent this emal thru the web mail, as i can not open the ms office outrlook, due to the error message below.


the error message says "" cannot create new gard page of stack.""   as of things, i just changed my pass word recently with accordance to the auto notification from system.


please help me to solve this trouble quickly and start to use outlook for my daily work.


my email address is

ezwcpqrh.bnwqaglk@gmail.com


id is

yathryu


mobile phone is



your asistance is highly appreciated.


best ",ezwcpqrh bnwqaglk,0,need - help desk this emal thru the web mail can not open office outrlook due error message below say create new gard page stack thing just change pass word recently with accordance auto notification system please solve trouble quickly and start use outlook for daily work email address yathryu mobile phone asistance highly appreciate good
